risk_qid,n,interaction_beta,interaction_p,adj_r2
QUO197,103,-0.38322714241917893,0.007568467309819749,0.5640400945161568
QUO210,103,-0.3492650057740667,0.010359911103692943,0.587851066973079
QUO313,103,-0.060806582224135576,0.6267298501443435,0.573500753617411
QUO315,103,-0.06922879125580872,0.5839313427468542,0.5876049622968941
