risk_qid,n_components,n,interaction_beta,interaction_p,adj_r2
QUO197,11,180,-0.40564742784132973,0.0010982613846370892,0.4507913792839904
QUO210,11,180,-0.39203221220288853,0.0010845675195234605,0.47190516797530324
