,PC1,PC2
QUO41,-0.8446422580328823,0.464559749996306
QUO65,-0.7567647778399026,0.6063863201247338
QUO257,-0.8493132182787556,0.22273560532348935
QUO4,-0.8973220106684059,-0.39629730419835674
QUO5,-0.8687118943110158,-0.4091666190549642
QUO44,-0.9134413335735215,-0.36663520882397344
QUO101,-0.010192706362897742,0.5399015331235256
