era,risk_qid,n,interaction_beta,interaction_p,adj_r2
2004-2008,QUO197,97,-0.39316315184945183,0.00223033023768493,0.5751282116636609
2004-2008,QUO210,97,-0.37888455122719666,0.00233371985332842,0.5854726815857076
2004-2008,QUO313,97,-0.14043049469940616,0.2511359483100779,0.5709464040052548
2004-2008,QUO315,97,-0.1382481805628677,0.2536914990028549,0.5887391351020888
2009-2011,QUO197,83,-0.5176997429658408,0.007666579343186708,0.3801154376096888
2009-2011,QUO210,83,-0.5365036756278257,0.005396060080799847,0.4005666294469582
