risk_qid,risk_description,anchor_type,n,n_clusters,risk_only_r2,risk_only_adj_r2,risk_beta_cr,risk_se_cr,risk_p_cr,additive_r2,additive_adj_r2,pche_additive_beta_cr,pche_additive_se_cr,pche_additive_p_cr,interaction_r2,interaction_adj_r2,interaction_beta,interaction_se,interaction_p_parametric,cr1_interaction_beta,cr1_interaction_se,cr1_interaction_p,fe_interaction_beta,fe_interaction_se,fe_interaction_p,fe_r2,fe_adj_r2,cr1_fe_interaction_beta,cr1_fe_interaction_se,cr1_fe_interaction_p,wild_cluster_p,cluster_permutation_p,cluster_boot_ci_lo,cluster_boot_ci_hi,risk_beta,pche_beta,interaction_beta_raw,attenuation_signature,benefit_pp_at_plus1sd_risk,fe_state_only_r2,fe_state_year_r2
QUO197,Partner argued more than usual (12 mo before birth),Primary,180,35,0.3716071791731138,0.3680768824268954,1.8382999716174173,0.30796130229998725,9.440869037646848e-07,0.4309862321417809,0.42455669804168805,-1.0194462970101146,0.2278641319051292,8.170491466996666e-05,0.4574958387548005,0.4482486087335755,-0.3613977602376067,0.12323356665450687,0.003808288255138459,-0.3613977602376067,0.19295920248195397,0.0696981238147365,-0.4593583735475626,0.19677906244893653,0.02105099762176521,0.8154734083431692,0.7553314080994613,-0.4593583735475626,0.21103578135828796,0.03654299453848142,0.1906,0.177,-0.7064420663931342,0.10386868132545478,0.8298343553978555,-1.0242859935886408,-0.3613977602376067,True,2.771367507652495,0.5978105753521785,0.80146919845718
QUO210,Any partner-related stressors,Primary,180,35,0.4193928162964723,0.4161309781857784,1.9529216782257308,0.29981156539913484,1.8674717039424138e-07,0.45243162491359756,0.4462444116357852,-0.8053443138298443,0.24408030929807603,0.0022791428889257226,0.477926294788525,0.4690273111769657,-0.35119937321582895,0.11979497794354023,0.003819452060170647,-0.35119937321582895,0.17940293396015866,0.05852573818295603,-0.5023823690933936,0.1939940703569776,0.010660330245515048,0.8170456435241675,0.7574160754875999,-0.5023823690933936,0.2256185663494155,0.03269758392447364,0.1814,0.1868,-0.6934982834954838,0.08078063033268355,1.0806165647732362,-0.8016583267563685,-0.35119937321582895,True,2.305715399944395,0.5978105753521785,0.80146919845718
QUO313,Physical IPV by ex-partner (before pregnancy),Secondary,103,27,0.4795272566961699,0.47437406121791414,2.028487152599531,0.19346614881618046,7.83679787730307e-11,0.5850496656738,0.576750658987276,-1.2152405622419529,0.324762499831716,0.0009130310803473485,0.5860448490992519,0.573500753617411,-0.060806582224135576,0.12464018202446751,0.6267298501443435,-0.060806582224135576,0.17238630234013555,0.7271311248858421,0.10735408047038136,0.35759429705971524,0.7649590606194558,0.8908088656128272,0.8312500650380057,0.10735408047038136,0.42642141030244046,0.8032091445946041,0.7094,0.8122,-0.8242062367129881,0.39388681328385844,1.1527501303831884,-1.2462579269059915,-0.060806582224135576,True,2.614129018260254,0.5978105753521785,0.80146919845718
QUO315,Physical IPV by ex-partner (during pregnancy),Secondary,103,27,0.5011808280457415,0.496242024363026,2.0737807423575347,0.19702964015268096,7.224931763971654e-11,0.5985136215582163,0.5904838939893806,-1.1682984474104434,0.33631141994495717,0.0018125683699108386,0.5997342281116913,0.5876049622968941,-0.06922879125580872,0.12599564371297065,0.5839313427468542,-0.06922879125580872,0.15258871857837758,0.6538124704852768,-0.23358449767726927,0.28941402744994,0.42251105639059183,0.8880743103132478,0.8270239341204739,-0.23358449767726927,0.27236193682816023,0.3989362101129823,0.6716,0.7626,-0.5253411045530146,0.553331848822673,1.2294012951637976,-1.194492692592775,-0.06922879125580872,True,2.5274429676971675,0.5978105753521785,0.80146919845718
