,outcome_ppd,pche_index,structural_access_index,counseling_index,QUO197,QUO210,QUO313,QUO315
outcome_ppd,1.0,-0.6712873038314078,-0.6210644034612227,0.05410986813318372,0.6861024384874269,0.7134485183304495,0.7110891346399408,0.7335022312208881
pche_index,-0.6712873038314078,1.0,0.5184467563614682,-0.14661355523648276,-0.6926302677947535,-0.7344435662541072,-0.658609930082667,-0.6723052367363062
structural_access_index,-0.6210644034612227,0.5184467563614682,1.0,-0.24940120440902197,-0.4353096731502396,-0.5276008174216381,-0.6169652707068378,-0.6411781658277448
counseling_index,0.05410986813318372,-0.14661355523648276,-0.24940120440902197,1.0,0.18153062365538508,0.22325428452946344,0.1777666613283325,0.122795282196067
QUO197,0.6861024384874269,-0.6926302677947535,-0.4353096731502396,0.18153062365538508,1.0,0.9603480447769462,0.7381917921708192,0.6739793596482724
QUO210,0.7134485183304495,-0.7344435662541072,-0.5276008174216381,0.22325428452946344,0.9603480447769462,1.0,0.7412579734110188,0.6837191877429717
QUO313,0.7110891346399408,-0.658609930082667,-0.6169652707068378,0.1777666613283325,0.7381917921708192,0.7412579734110188,1.0,0.8963941680560232
QUO315,0.7335022312208881,-0.6723052367363062,-0.6411781658277448,0.122795282196067,0.6739793596482724,0.6837191877429717,0.8963941680560232,1.0
