risk_qid,n,counseling_simple_beta,counseling_simple_p,counseling_fe_beta,counseling_fe_p,counseling_interaction_beta,counseling_interaction_p,simultaneous_pche_int_beta,simultaneous_pche_int_p,simultaneous_couns_int_beta,simultaneous_couns_int_p
QUO197,180,0.03401632228673304,0.8805366950804587,-0.932204580529926,0.01951754177458631,0.4139074986466662,0.011980099484518947,-0.23673338691523252,0.06906835583354609,0.41952132817658117,0.00971502980838812
QUO210,180,0.03401632228673304,0.8805366950804587,-0.932204580529926,0.01951754177458631,0.46203832996983274,0.002519285801437343,-0.20741618775247805,0.10056140380749978,0.42902151706226926,0.005457564121970293
