comparison,r,p,n,pche_int_beta,pche_int_p,struct_int_beta,struct_int_p,both_pche_int_beta,both_pche_int_p,both_struct_int_beta,both_struct_int_p
pche_vs_structural_access,0.5184467563614681,5.3441108273445016e-08,97,,,,,,,,
head_to_head_QUO197,,,97,-0.39316315184945183,0.00223033023768493,-0.2096125726319107,0.03304301262328235,-0.2534134180945628,0.23962796990929203,-0.07913773574891547,0.6484076709587308
head_to_head_QUO210,,,97,-0.37888455122719666,0.00233371985332842,-0.22688205590590926,0.017350966251709954,-0.25064984387371814,0.2525532804935735,-0.08181199052258471,0.6359314926656423
