pche_variant,risk_qid,n,ols_interaction_beta,ols_interaction_se,ols_interaction_p,ols_adj_r2,fe_interaction_beta,fe_interaction_se,fe_interaction_p,fe_adj_r2
pche_7_primary,QUO197,180,-0.3613977602376067,0.12323356665450687,0.003808288255138459,0.4482486087335755,-0.4593583735475626,0.19677906244893653,0.02105099762176521,0.7553314080994613
pche_6_no_intent,QUO197,180,-0.3151283067085642,0.12434402668077482,0.012138359038772917,0.45047513436677744,-0.4453334711248734,0.2004721677608776,0.027988023227441428,0.753663100898751
pche_7_primary,QUO210,180,-0.35119937321582895,0.11979497794354023,0.003819452060170647,0.4690273111769657,-0.5023823690933936,0.1939940703569776,0.010660330245515048,0.7574160754875999
pche_6_no_intent,QUO210,180,-0.30609514788846837,0.12131523222712554,0.012517150507981523,0.4717921872627351,-0.4904569603154112,0.19807079661588797,0.014516894578284978,0.7555016545250112
