domain,components,n_components,risk_qid,n,ols_interaction_beta,ols_interaction_se,ols_interaction_p,ols_adj_r2,fe_interaction_beta,fe_interaction_se,fe_interaction_p,fe_adj_r2
nutritional,"QUO41, QUO65",2,QUO197,180,-0.27179856424946336,0.13382597723605452,0.04376096910158034,0.4196202735189374,-0.22495802635731837,0.18375529713072888,0.22299909648327199,0.7606175449847385
nutritional,"QUO41, QUO65",2,QUO210,180,-0.2979851070279629,0.12715930205555068,0.020225900739146763,0.44846477774242643,-0.30778472446648136,0.17798783643696597,0.08605096125223755,0.7632167528546041
intentionality,QUO257,1,QUO197,180,-0.5676055390273045,0.14338560550571103,0.00010926911307462817,0.4184387790885479,-0.4915090100733922,0.18852151567699726,0.010155776667989613,0.7565786999026902
intentionality,QUO257,1,QUO210,180,-0.5310838530493318,0.13489846396972774,0.00011874026300251472,0.45729328546002646,-0.5211745996598547,0.1842975534381272,0.005399527658603409,0.7589099355962861
postpartum_engagement,"QUO4, QUO5, QUO44, QUO101",4,QUO197,180,-0.40723342187840794,0.1399882993154129,0.004093026233766839,0.4335993351113122,-0.4533595807257193,0.22046075333752152,0.04166845334402791,0.756235280362259
postpartum_engagement,"QUO4, QUO5, QUO44, QUO101",4,QUO210,180,-0.36386747620627935,0.13746813923424053,0.008859597256143381,0.4619671347697826,-0.4284296550811387,0.2178972128507868,0.05132707323293184,0.7556043725782675
