risk_qid,variable,vif
QUO197,risk_z,2.302610198168103
QUO197,pche_z,1.924725041981076
QUO197,risk_x_pche,1.3696787258779208
QUO210,risk_z,2.5023771503998966
QUO210,pche_z,2.1587479559123697
QUO210,risk_x_pche,1.3503222986689458
QUO313,risk_z,3.313587350453094
QUO313,pche_z,1.7436413102767134
QUO313,risk_x_pche,2.2536516393776664
QUO315,risk_z,2.931397035418918
QUO315,pche_z,1.6997546650728832
QUO315,risk_x_pche,1.9994598941334651
