pche_variant,n_components,components,cronbach_alpha,risk_qid,n,ols_interaction_beta,ols_interaction_se,ols_interaction_p,ols_adj_r2,cluster_permutation_p,cluster_bootstrap_ci_lo,cluster_bootstrap_ci_hi,fe_interaction_beta,fe_interaction_se,fe_interaction_p,fe_adj_r2,cr1_interaction_beta,cr1_interaction_se,cr1_interaction_p
strict_preconception_8,8,"QUO179, QUO41, QUO65, QUO249, QUO75, QUO257, QUO296, QUO297",,QUO197,180,-0.41077638448635334,0.13080023551467718,0.0019787715974837194,0.42516055312313805,0.1532,-0.7744664667638023,0.03225067365347608,-0.4159430232585112,0.20087684196488392,0.04029790362081287,0.7590920827135067,-0.4159430232585112,0.2279837740194787,0.07688380195016364
strict_preconception_8,8,"QUO179, QUO41, QUO65, QUO249, QUO75, QUO257, QUO296, QUO297",,QUO210,180,-0.4153091906164281,0.12316404234171807,0.0009174857733760255,0.4563784614642371,0.1314,-0.8268246885387347,-0.017169227520938583,-0.5161024270537033,0.196445861905344,0.009604903199311732,0.7637199347469981,-0.5161024270537033,0.25594571051361276,0.05170720639913107
narrow_prepreg_5,5,"QUO179, QUO41, QUO65, QUO249, QUO257",0.9359943181296088,QUO197,180,-0.40263256213374476,0.13102119314598884,0.0024562310296729617,0.42414477500975134,0.1616,-0.7415163856016516,0.03201637630829054,-0.3569382771206407,0.18667626774335153,0.05798571444272227,0.7580371074952224,-0.3569382771206407,0.19024137047910428,0.06922841850666517
narrow_prepreg_5,5,"QUO179, QUO41, QUO65, QUO249, QUO257",0.9359943181296088,QUO210,180,-0.4060487041167329,0.12377905719363036,0.0012495655400219796,0.45362707495602983,0.1402,-0.7695167506140476,0.010057348453722904,-0.4200031930907257,0.1798917835275327,0.02103111332257046,0.7617309796419879,-0.4200031930907257,0.21730960906385047,0.061632669740889545
