component,qid,eigenvalue,variance_explained,cumulative_variance
PC1,QUO41,4.401772523067979,0.6288246461525684,0.6288246461525684
PC2,QUO65,1.383515197712157,0.19764502824459382,0.8264696743971622
PC3,QUO257,0.9595117346773928,0.13707310495391326,0.9635427793510755
PC4,QUO4,0.19808856636302774,0.028298366623289675,0.9918411459743651
PC5,QUO5,0.027216907366083072,0.0038881296237261525,0.9957292755980913
PC6,QUO44,0.025592735471331274,0.0036561050673330387,0.9993853806654244
PC7,QUO101,0.004302335342029986,0.0006146193345757122,1.0
