factor,risk_qid,n,ols_beta,ols_se,ols_p,ols_r2,fe_beta,fe_se,fe_p,fe_r2
Factor1,QUO197,180,0.5617516328539764,0.18813130241785783,0.003229820623374291,0.4098006115058398,0.26287089192726804,0.24912880510640686,0.29323659560213233,0.8129163669619403
Factor1,QUO210,180,0.5599650328894595,0.1767198658744713,0.0018060677532378833,0.4623735723308662,0.24772813295057824,0.2335103897026938,0.29063553778958573,0.8127200174961983
Factor2,QUO197,180,-0.2749777152433591,0.1267346735744658,0.031369271587344594,0.47361710315665007,-0.32648350682315075,0.19568392272793553,0.0975495706915912,0.8198089475437743
Factor2,QUO210,180,-0.2860090311428024,0.12023173942377784,0.018439193583726032,0.49320743874918493,-0.36574721636981244,0.1891269648527795,0.05522142711486988,0.821127457812475
